,name,dc_whole,dc_core,dc_enh,hd95_whole,hd95_core,hd95_enh
556,BRATS_23193.nii.gz,0.9484,0.9083,0.9097,1.0,1.0,1.0
557,BRATS_23196.nii.gz,0.9334,0.8926,0.9071,1.0,1.0,1.0
558,BRATS_23353.nii.gz,0.9412,0.9119,0.9505,1.0,1.0,0.0
559,BRATS_23358.nii.gz,0.9298,0.8922,0.9506,1.0,1.0,0.0
560,BRATS_23359.nii.gz,0.9323,0.9008,0.9484,1.0,1.0,1.0
561,BRATS_23361.nii.gz,0.9271,0.9018,0.9625,1.0,1.0,0.0
562,BRATS_23362.nii.gz,0.9286,0.9063,0.9633,1.0,1.0,0.0
563,BRATS_23366.nii.gz,0.9256,0.9105,0.957,1.0,1.0,0.0
564,BRATS_23370.nii.gz,0.9147,0.9186,0.9792,1.0,1.0,0.0
565,BRATS_23521.nii.gz,0.9665,0.9567,0.9744,0.0,0.0,0.0
566,BRATS_23531.nii.gz,0.9708,0.9634,0.9766,0.0,0.0,0.0
567,BRATS_23533.nii.gz,0.9673,0.9594,0.9586,0.0,0.0,0.0
568,BRATS_23691.nii.gz,0.9635,0.9236,0.9644,0.0,1.0,0.0
569,BRATS_23693.nii.gz,0.964,0.9345,0.9521,0.0,1.0,0.0
570,BRATS_23695.nii.gz,0.965,0.8982,0.9074,0.0,1.0,1.0
571,BRATS_23700.nii.gz,0.919,0.9096,0.7306,1.0,1.0,4.243
572,BRATS_23701.nii.gz,0.8662,0.8432,0.8646,1.0,1.0,1.0
573,BRATS_23703.nii.gz,0.8167,0.8193,0.9748,1.0,1.062,0.0
574,BRATS_23860.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
575,BRATS_23862.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
576,BRATS_23864.nii.gz,1.0,1.0,1.0,0.0,0.0,0.0
577,BRATS_24029.nii.gz,0.8182,0.8182,1.0,1.0,1.0,0.0
578,BRATS_24036.nii.gz,0.8644,0.7685,0.7541,1.0,2.0,1.0
579,BRATS_24039.nii.gz,0.9465,0.8995,0.8,1.0,1.0,4.082
580,BRATS_24194.nii.gz,0.9461,0.7885,0.7642,1.0,1.4140000000000001,1.0
581,BRATS_24200.nii.gz,0.9577,0.8864,0.8287,0.0,1.0,1.0
582,BRATS_24206.nii.gz,0.9006,0.8865,0.1818,1.0,1.0,14.534
583,BRATS_24211.nii.gz,0.8532,0.8574,0.0,1.4140000000000001,1.3519999999999999,373.129
584,BRATS_24362.nii.gz,0.6348,0.6348,1.0,15.222999999999999,15.222999999999999,0.0
585,BRATS_24370.nii.gz,0.9367,0.9223,0.9475,1.0,1.0,1.0
586,BRATS_24379.nii.gz,0.9193,0.9048,0.9569,1.0,1.0,0.0
587,BRATS_24529.nii.gz,0.971,0.9305,0.9353,0.0,1.0,1.0
588,BRATS_24543.nii.gz,0.9644,0.9075,0.9088,0.0,1.0,1.0
589,BRATS_24699.nii.gz,0.8456,0.8426,1.0,1.0,1.0,0.0
590,BRATS_24704.nii.gz,0.8738,0.8738,1.0,1.0,1.0,0.0
591,BRATS_24715.nii.gz,0.0,0.0,1.0,373.129,373.129,0.0
592,BRATS_24864.nii.gz,0.9269,0.8295,0.9009,1.0,1.0,1.0
593,BRATS_24865.nii.gz,0.9614,0.8792,0.9136,0.0,1.0,1.0
594,BRATS_24872.nii.gz,0.9689,0.8878,0.9408,0.0,1.0,1.0
595,BRATS_24879.nii.gz,0.9757,0.9442,0.9765,0.0,1.0,0.0
596,BRATS_24883.nii.gz,0.9354,0.9225,0.9521,1.0,1.0,0.0
597,BRATS_25032.nii.gz,0.9327,0.8998,0.9095,1.0,1.0,1.0
598,BRATS_25033.nii.gz,0.936,0.91,0.9361,1.0,1.0,1.0
599,BRATS_25035.nii.gz,0.9158,0.8991,0.9674,1.0,1.0,0.0
600,BRATS_25042.nii.gz,0.9333,0.9303,0.9831,1.0,1.0,0.0
601,BRATS_25046.nii.gz,0.955,0.9537,0.9684,0.0,0.0,0.0
602,BRATS_25051.nii.gz,0.9394,0.935,0.9163,1.0,1.0,1.0
603,BRATS_25201.nii.gz,0.8973,0.8329,0.9161,1.0,1.4140000000000001,1.0
604,BRATS_25202.nii.gz,0.8923,0.825,0.9147,1.0,1.4140000000000001,1.0
605,BRATS_25203.nii.gz,0.9139,0.8528,0.9195,1.0,1.0,1.0
